datetime,open,high,low,close,volume
2012-02-08 18:15:00+00:00,18.06,18.46,18.06,18.3,0
2012-02-08 20:15:00+00:00,18.3,18.3,18.13,18.16,0
2012-02-08 21:15:00+00:00,18.16,18.21,18.16,18.16,0
2012-02-09 16:15:00+00:00,18.12,18.72,18.07,18.68,0
2012-02-09 18:15:00+00:00,18.66,18.66,18.4,18.41,0
2012-02-09 20:15:00+00:00,18.41,18.45,18.37,18.44,0
2012-02-09 21:15:00+00:00,18.44,18.63,18.44,18.63,0
2012-02-10 16:15:00+00:00,20.1,20.7,19.02,20.51,0
2012-02-10 18:15:00+00:00,20.51,20.53,20.4,20.4,0
2012-02-10 20:15:00+00:00,20.41,21.96,20.41,21.96,0
2012-02-10 21:15:00+00:00,21.97,21.98,20.62,20.79,0
2012-02-13 16:15:00+00:00,19.64,19.68,19.5,19.55,0
2012-02-13 18:15:00+00:00,19.54,19.57,19.27,19.28,0
2012-02-13 20:15:00+00:00,19.28,19.3,17.92,19.07,0
2012-02-13 21:15:00+00:00,19.07,19.16,18.99,19.04,0
2012-02-14 16:15:00+00:00,19.45,19.97,18.95,19.92,0
2012-02-14 18:15:00+00:00,19.9,20.4,19.78,20.39,0
2012-02-14 20:15:00+00:00,20.39,20.7,20.27,20.65,0
2012-02-14 21:15:00+00:00,20.66,20.76,19.53,19.54,0
2012-02-15 16:15:00+00:00,19.74,20.76,19.44,20.63,0
2012-02-15 18:15:00+00:00,20.62,21.34,20.36,21.29,0
2012-02-15 20:15:00+00:00,21.29,21.77,19.74,21.76,0
2012-02-15 21:15:00+00:00,21.76,21.76,21.11,21.14,0
2012-02-16 16:15:00+00:00,21.59,21.76,20.56,21.04,0
2012-02-16 18:15:00+00:00,21.04,21.04,19.77,19.79,0
2012-02-16 20:15:00+00:00,19.79,19.79,19.28,19.32,0
2012-02-16 21:15:00+00:00,19.32,19.33,19.22,19.22,0
2012-02-17 16:15:00+00:00,18.73,18.79,18.06,18.17,0
2012-02-17 18:15:00+00:00,18.17,18.2,17.58,18.13,0
2012-02-17 20:15:00+00:00,18.13,18.13,17.54,17.9,0
2012-02-17 21:15:00+00:00,17.9,17.91,17.78,17.78,0
2012-02-21 16:15:00+00:00,18.41,18.94,17.89,18.02,0
2012-02-21 18:15:00+00:00,18.02,18.05,17.65,17.84,0
2012-02-21 20:15:00+00:00,17.86,18.73,17.82,18.59,0
2012-02-21 21:15:00+00:00,18.57,18.72,18.13,18.19,0
2012-02-22 16:15:00+00:00,18.85,18.94,18.4,18.52,0
2012-02-22 18:15:00+00:00,18.53,18.78,17.74,18.12,0
2012-02-22 20:15:00+00:00,18.14,18.27,17.92,18.1,0
2012-02-22 21:15:00+00:00,18.12,18.33,18.04,18.19,0
2012-02-23 16:15:00+00:00,18.73,18.97,17.63,17.64,0
2012-02-23 18:15:00+00:00,17.64,17.64,17.26,17.48,0
2012-02-23 20:15:00+00:00,17.48,17.65,17.26,17.27,0
2012-02-23 21:15:00+00:00,17.27,17.28,16.64,16.8,0
2012-02-24 16:15:00+00:00,16.68,16.98,16.48,16.68,0
2012-02-24 18:15:00+00:00,16.68,16.69,16.42,16.52,0
2012-02-24 20:15:00+00:00,16.52,17.62,16.52,17.52,0
2012-02-24 21:15:00+00:00,17.52,17.52,17.21,17.31,0
2012-02-27 16:15:00+00:00,19.1,19.25,17.88,17.89,0
2012-02-27 18:15:00+00:00,17.89,17.96,17.58,17.78,0
2012-02-27 20:15:00+00:00,17.78,17.97,17.63,17.95,0
2012-02-27 21:15:00+00:00,17.95,18.21,17.91,18.19,0
2012-02-28 16:15:00+00:00,18.67,18.67,17.93,17.98,0
2012-02-28 18:15:00+00:00,17.97,18.04,17.88,17.99,0
2012-02-28 20:15:00+00:00,18.0,18.4,17.99,18.2,0
2012-02-28 21:15:00+00:00,18.2,18.2,17.92,17.96,0
2012-02-29 16:15:00+00:00,17.8,18.75,17.53,18.32,0
2012-02-29 18:15:00+00:00,18.32,18.68,17.8,17.89,0
2012-02-29 20:15:00+00:00,17.91,17.97,17.55,17.96,0
2012-02-29 21:15:00+00:00,17.92,18.62,17.89,18.43,0
2012-03-01 16:15:00+00:00,18.02,18.03,17.46,17.77,0
2012-03-01 18:15:00+00:00,17.77,17.77,17.41,17.48,0
2012-03-01 20:15:00+00:00,17.48,17.55,17.3,17.52,0
2012-03-01 21:15:00+00:00,17.58,17.85,17.26,17.26,0
2012-03-02 16:15:00+00:00,17.65,17.65,17.14,17.31,0
2012-03-02 18:15:00+00:00,17.31,17.55,17.24,17.53,0
2012-03-02 20:15:00+00:00,17.53,17.62,17.43,17.49,0
2012-03-02 21:15:00+00:00,17.49,17.51,17.2,17.29,0
2012-03-05 16:15:00+00:00,18.27,18.9,18.21,18.55,0
2012-03-05 18:15:00+00:00,18.54,18.75,18.44,18.44,0
2012-03-05 20:15:00+00:00,18.44,18.51,18.14,18.15,0
2012-03-05 21:15:00+00:00,18.15,18.17,18.02,18.05,0
2012-03-06 16:15:00+00:00,20.57,21.11,20.42,20.44,0
2012-03-06 18:15:00+00:00,20.44,20.94,20.3,20.68,0
2012-03-06 20:15:00+00:00,20.68,21.24,20.68,21.14,0
2012-03-06 21:15:00+00:00,21.14,21.14,20.81,20.87,0
2012-03-07 16:15:00+00:00,20.43,20.44,19.55,19.55,0
2012-03-07 18:15:00+00:00,19.55,19.56,19.32,19.44,0
2012-03-07 20:15:00+00:00,19.44,19.62,19.29,19.48,0
2012-03-07 21:15:00+00:00,19.48,19.51,19.07,19.07,0
2012-03-08 16:15:00+00:00,18.08,18.46,17.88,17.94,0
2012-03-08 18:15:00+00:00,17.94,17.94,17.81,17.91,0
2012-03-08 20:15:00+00:00,17.91,18.09,17.76,17.78,0
2012-03-08 21:15:00+00:00,17.78,18.04,17.78,17.95,0
2012-03-09 16:15:00+00:00,17.16,17.27,16.63,16.7,0
2012-03-09 18:15:00+00:00,16.7,16.94,16.69,16.94,0
