datetime,open,high,low,close,volume
2013-08-06 19:30:00+00:00,73.61,75.63,73.48,75.42,0
2013-08-06 20:15:00+00:00,75.42,76.25,75.34,75.53,0
2013-08-07 15:30:00+00:00,76.85,80.66,76.64,79.23,0
2013-08-07 17:30:00+00:00,79.33,79.46,76.56,76.8,0
2013-08-07 19:30:00+00:00,76.8,77.29,76.57,76.57,0
2013-08-07 20:15:00+00:00,76.57,76.85,76.57,76.57,0
2013-08-08 15:30:00+00:00,74.82,77.45,74.82,76.76,0
2013-08-08 17:30:00+00:00,76.45,76.82,75.23,75.6,0
2013-08-08 19:30:00+00:00,75.56,75.68,75.01,75.46,0
2013-08-08 20:15:00+00:00,75.43,75.64,74.97,75.41,0
2013-08-09 15:30:00+00:00,75.17,77.87,74.82,77.87,0
2013-08-09 17:30:00+00:00,77.87,77.94,75.8,75.94,0
2013-08-09 19:30:00+00:00,75.94,76.56,75.7,76.39,0
2013-08-09 20:15:00+00:00,76.45,77.39,76.37,77.33,0
2013-08-12 15:30:00+00:00,78.77,78.77,78.77,78.77,0
2013-08-13 17:30:00+00:00,79.84,80.13,79.27,79.29,0
2013-08-13 19:30:00+00:00,79.39,79.74,78.72,78.79,0
2013-08-13 20:15:00+00:00,78.79,78.94,78.72,78.94,0
2013-08-14 15:30:00+00:00,79.59,80.66,79.27,80.14,0
2013-08-14 17:30:00+00:00,80.14,80.63,79.43,79.99,0
2013-08-14 19:30:00+00:00,79.99,80.62,78.91,79.12,0
2013-08-14 20:15:00+00:00,79.12,80.28,79.04,80.22,0
2013-08-15 15:30:00+00:00,82.83,86.39,82.41,84.52,0
2013-08-15 17:30:00+00:00,84.52,86.29,83.38,85.86,0
2013-08-15 19:30:00+00:00,85.86,86.53,84.25,86.52,0
2013-08-15 20:15:00+00:00,86.58,86.82,85.96,86.21,0
2013-08-16 15:30:00+00:00,86.22,86.3,82.43,82.81,0
2013-08-16 17:30:00+00:00,82.81,84.95,82.09,84.83,0
2013-08-16 19:30:00+00:00,84.83,86.22,83.06,83.33,0
2013-08-16 20:15:00+00:00,83.45,84.18,82.49,84.09,0
2013-08-19 15:30:00+00:00,85.86,85.91,84.24,84.98,0
2013-08-19 17:30:00+00:00,84.85,85.49,84.31,85.31,0
2013-08-19 19:30:00+00:00,85.31,87.26,85.26,86.82,0
2013-08-19 20:15:00+00:00,86.87,86.91,86.16,86.91,0
2013-08-20 15:30:00+00:00,85.98,88.43,85.98,88.32,0
2013-08-20 17:30:00+00:00,88.27,88.38,85.36,86.05,0
2013-08-20 19:30:00+00:00,86.05,86.69,85.98,86.55,0
2013-08-20 20:15:00+00:00,86.55,89.75,86.52,89.08,0
2013-08-21 15:30:00+00:00,91.36,93.08,90.47,92.02,0
2013-08-21 17:30:00+00:00,92.2,93.41,91.33,91.7,0
2013-08-21 19:30:00+00:00,91.71,93.11,86.86,87.17,0
2013-08-21 20:15:00+00:00,87.17,90.74,86.93,90.38,0
2013-08-22 15:30:00+00:00,87.84,88.63,86.09,86.86,0
2013-08-22 17:30:00+00:00,86.79,86.8,85.23,85.39,0
2013-08-22 19:30:00+00:00,85.39,85.77,84.67,84.83,0
2013-08-22 20:15:00+00:00,84.85,85.28,84.3,84.52,0
2013-08-23 15:30:00+00:00,83.87,84.36,82.44,82.97,0
2013-08-23 17:30:00+00:00,83.01,83.01,81.39,81.39,0
2013-08-23 19:30:00+00:00,81.39,81.48,80.81,80.81,0
2013-08-23 20:15:00+00:00,81.01,81.01,79.8,80.02,0
2013-08-26 15:30:00+00:00,81.22,81.45,79.0,79.03,0
2013-08-26 17:30:00+00:00,79.03,79.2,78.04,78.1,0
